mean,sum,32,64,128,256,512,1024,2048,4096,8192,16384,
46146.1,126632,100,0,100,99.9,98.6,95.8,79.7,41.6,0.8,0,
47748.3,165180,100,0,100,99.8,98.9,95.9,81,43.3,1.7,0,
48856.2,134808,100,0,0,100,99.3,96.5,83.1,45.2,2,0,
48395,135416,100,0,0,100,99.4,96.3,81.3,46.3,1.7,0,
48382.1,126200,100,100,99.9,99.8,99.6,95.6,82.6,44.3,2.1,0,
47628.8,132276,100,0,100,99.8,99,96.6,81.8,44.1,1,0,
49366.8,147528,100,0,100,99.9,99.4,97.1,84.8,47.8,1.2,0,
49602.5,137916,100,0,100,99.8,99.7,97.6,83.8,49.7,1.5,0,
49305.6,133880,100,0,100,99.9,99.2,96.4,83.1,47.5,1.3,0,
50491.3,135788,100,0,100,99.7,98.9,95.9,83.3,48.9,3.1,0,
49836.8,135352,100,100,99.8,99.7,99,96.7,84.1,46.4,2,0,
50269.9,158400,100,0,0,100,99.2,96.4,85.3,50.3,2.1,0,
50804.5,152488,100,0,100,99.8,99.3,97.2,85.9,50.7,1.9,0,
50853,148608,100,0,0,100,99.3,96.6,84.2,50.6,2,0,
51722.1,135744,100,100,0,99.9,99.6,96.7,83.4,53.2,2.1,0,
51254.6,154180,100,0,0,100,99.6,96.4,83.5,51.1,3.1,0,
52147.2,168112,100,0,100,99.9,99.2,96.9,86.5,54,1.9,0,
53393.2,156612,100,100,0,99.9,99.6,96.8,85.6,55.7,2.9,0,
51364.1,168912,100,100,99.9,99.8,99.4,97,85,52.2,1.7,0,
51654.9,154436,100,0,0,100,99.7,96.9,85.7,50.6,2.3,0,
52409,135440,100,0,100,99.9,99.6,96.7,85.1,53.4,2.1,0,
52550.1,149088,100,0,0,100,99.6,96.9,86.3,53.6,2.6,0,
51584.8,157856,100,0,100,99.9,99.1,96.5,85.3,50,2.5,0,
52061.5,141972,100,0,0,100,99.5,96.2,84.6,51,3,0,
52290.6,166880,100,0,0,100,99.5,97.4,84.9,52.8,2.8,0,
54526.7,148948,100,0,0,100,99.3,97.1,86.1,56.8,3.2,0,
53568.4,153960,100,0,100,99.7,99.6,97.5,84,55.8,2.8,0,
53801.5,134916,100,100,0,99.9,99.8,97.8,86.3,54.5,3.4,0,
54688.7,172884,100,0,100,99.9,99.7,97.1,87.7,54.8,3.3,0,
54700.3,161088,100,0,100,99.8,99.5,97.3,85.8,56.3,3.4,0,
54326.1,134720,100,0,0,100,99.7,97.7,87.5,55.7,2.5,0,
55731.8,166852,100,0,100,99.9,99.6,97.5,88.7,57.6,4.3,0,
52773.4,165912,100,0,100,99.9,99.5,97.1,85.1,53.1,2.7,0,
54841.4,167116,100,100,0,99.9,99.6,96.3,86.5,57.3,3,0,
54811.2,148828,100,100,0,99.8,99.5,96.7,85.8,57.1,4,0,
54655.2,157500,100,0,99.9,99.8,99.3,96.8,87.9,56.2,3.7,0,
55974.6,155380,100,0,0,100,99.5,96.9,85.4,57.9,4,0,
